"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"lightminder_logo";1;"LOGO";;;
2;"Q3";"STD35P6LLF6";1;"STD35P6LLF6";;;
3;"J3";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
4;"J2";"PinHeader_2x03_P2.54mm_Vertical";1;"AVR-ISP-6";;;
5;"D5,D4";"D_SOT-23_ANK";2;"D_Schottky";;;
6;"C9,C5";"C_0201_0603Metric";2;"470nF";;;
7;"J4";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Female";;;
8;"J1";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Female";;;
9;"U2";"SOT-23";1;"LM3480-3.3";;;
10;"R15,R14,R13,R11";"R_0201_0603Metric";4;"R";;;
11;"R12,R9";"R_0402_1005Metric";2;"10k";;;
12;"R10,R8";"R_0402_1005Metric";2;"1k";;;
13;"R5";"R_0201_0603Metric";1;"10k";;;
14;"R2,R1";"R_0201_0603Metric";2;"18k";;;
15;"Q2,Q1";"SOT95P240X115-3N";2;"Q_NPN_BEC";;;
16;"F1";"FUSC3226X100N";1;"1210L020WR";;;
17;"D10,D9,D8,D6";"LED_0805_2012Metric_Castellated";4;"LED";;;
18;"D7";"DO-214ACSMA";1;"20v TVS";;;
19;"C8,C4,C3";"C_0201_0603Metric";3;"100n";;;
20;"C2,C1";"C_0603_1608Metric";2;"10u";;;
21;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal_GND24";;;
22;"C7,C6";"C_0201_0603Metric";2;"20p";;;
23;"D1";"D_SOD-323F";1;"20v";;;
24;"R4,R3";"R_0201_0603Metric";2;"1.3k";;;
25;"U1";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328P-AU";;;
